customer_id,customer_name,segment,region,first_order_date,last_order_date,total_orders,total_revenue,total_profit,total_quantity,avg_order_value,is_repeat_customer
AG-10330,Alex Grayson,Consumer,West,2016-08-03,2017-12-22,5,660.972,-5.137100000000006,47,132.1944,True
AG-10390,Allen Goldenen,Consumer,East,2014-04-19,2017-09-07,5,200.945,69.2784,33,40.189,True
AG-10495,Andrew Gjertsen,Corporate,East,2015-01-04,2017-10-13,8,2356.855,295.6668,93,294.606875,True
AG-10525,Andy Gerbode,Corporate,South,2014-08-09,2015-09-07,4,1455.038,-152.7613,33,363.7595,True
AG-10675,Anna Gayman,Consumer,Central,2015-05-07,2017-09-24,7,3489.0396000000005,-246.42570000000003,54,498.43422857142866,True
AG-10765,Anthony Garverick,Home Office,East,2014-09-17,2017-10-14,4,170.584,-8.431000000000001,20,42.646,True
AG-10900,Arthur Gainer,Consumer,West,2014-07-23,2017-09-25,10,4510.797,343.6824,92,451.07969999999995,True
AH-10030,Aaron Hawkins,Corporate,East,2014-04-22,2017-12-18,7,1744.7,365.2152,54,249.24285714285716,True
AH-10075,Adam Hart,Corporate,East,2014-11-16,2017-11-26,10,3250.337,281.189,75,325.0337,True
AH-10120,Adrian Hane,Home Office,West,2014-07-18,2017-10-31,7,1735.5140000000001,-2.3145999999999773,65,247.93057142857145,True
AH-10195,Alan Haines,Corporate,South,2015-03-05,2017-11-05,4,1587.452,-378.5509,28,396.863,True
AH-10210,Alan Hwang,Consumer,West,2014-11-29,2017-12-24,9,4805.344,1308.5546,53,533.9271111111111,True
AH-10465,Amy Hunt,Consumer,East,2015-01-03,2017-05-14,5,2495.3916,-196.12009999999998,35,499.07831999999996,True
AH-10585,Angele Hood,Consumer,Central,2014-10-26,2017-12-09,4,738.504,83.96300000000001,17,184.626,True
AH-10690,Anna Häberlin,Corporate,East,2014-04-02,2016-11-15,12,7888.294,1298.0166,102,657.3578333333334,True
AI-10855,Arianne Irving,Consumer,East,2014-04-28,2017-12-17,10,4375.786,867.7271000000001,72,437.5786,True
AJ-10780,Anthony Jacobs,Corporate,South,2014-01-10,2017-10-16,7,4867.344,150.71300000000005,62,695.3348571428571,True
AJ-10795,Anthony Johnson,Corporate,South,2014-05-14,2017-07-17,7,4501.391,1158.7064,88,643.0558571428571,True
AJ-10945,Ashley Jarboe,Consumer,South,2014-03-03,2017-10-06,7,1839.24,521.1351999999999,40,262.74857142857144,True
AJ-10960,Astrea Jones,Consumer,East,2014-09-14,2017-10-17,3,629.2479999999999,60.4265,22,209.7493333333333,True
AM-10360,Alice McCarthy,Corporate,Central,2014-10-06,2017-12-02,5,814.012,194.9878,48,162.80239999999998,True
AM-10705,Anne McFarland,Consumer,South,2014-10-31,2017-07-21,8,5664.022,1085.7326,81,708.00275,True
AO-10810,Anthony O'Donnell,Corporate,West,2016-08-16,2016-08-16,1,161.28,12.096,2,161.28,False
AP-10720,Anne Pryor,Home Office,East,2014-03-03,2017-11-19,8,1638.554,285.7888,85,204.81925,True
AP-10915,Arthur Prichep,Consumer,South,2014-08-23,2017-09-23,10,3323.556,579.3113,102,332.3556,True
AR-10345,Alex Russell,Corporate,East,2014-12-30,2017-09-10,4,1055.694,-221.0544,18,263.9235,True
AR-10405,Allen Rosenblatt,Corporate,East,2014-10-03,2017-08-27,5,2236.128,-98.7646,29,447.22560000000004,True
AR-10510,Andrew Roberts,Consumer,East,2014-05-02,2017-12-16,5,264.86400000000003,43.6695,33,52.97280000000001,True
AR-10540,Andy Reiter,Consumer,East,2014-11-25,2017-12-24,6,6608.448,2884.6208,33,1101.4080000000001,True
AR-10570,Anemone Ratner,Consumer,South,2016-07-14,2016-07-14,1,88.15,32.633,6,88.15,False
AR-10825,Anthony Rawles,Corporate,West,2014-06-30,2017-11-02,8,4523.336,494.83519999999993,54,565.417,True
AS-10045,Aaron Smayling,Corporate,South,2014-07-27,2017-10-03,7,3050.692,-253.57459999999998,48,435.81314285714285,True
AS-10090,Adam Shillingsburg,Consumer,South,2014-09-22,2017-12-02,9,3255.31,64.53739999999998,81,361.7011111111111,True
AS-10135,Adrian Shami,Home Office,East,2016-11-13,2017-11-19,2,58.82,21.8496,9,29.41,True
AS-10225,Alan Schoenberger,Corporate,East,2014-10-18,2017-12-08,5,4260.784,719.7751000000001,41,852.1568,True
AS-10240,Alan Shonely,Consumer,South,2014-03-15,2017-06-21,7,584.6080000000001,33.715799999999994,39,83.51542857142859,True
AS-10285,Alejandro Savely,Corporate,West,2016-05-21,2017-12-11,6,3214.236,354.62760000000003,39,535.706,True
AS-10630,Ann Steele,Home Office,Central,2014-08-01,2017-09-29,7,833.398,136.49190000000002,34,119.05685714285714,True
AT-10435,Alyssa Tate,Home Office,West,2014-11-24,2017-12-09,6,1171.814,100.87680000000002,28,195.30233333333334,True
AT-10735,Annie Thurman,Consumer,West,2014-08-30,2017-12-17,10,3831.864,974.107,60,383.1864,True
AW-10840,Anthony Witt,Consumer,Central,2015-04-13,2017-12-10,4,649.376,65.77250000000001,24,162.344,True
AW-10930,Arthur Wiediger,Home Office,Central,2014-07-14,2017-11-14,7,2852.968,-104.5486,68,407.56685714285715,True
AY-10555,Andy Yotov,Corporate,West,2014-04-06,2017-12-16,4,497.014,103.3499,34,124.2535,True
AZ-10750,Annie Zypern,Consumer,East,2014-03-17,2017-07-23,6,1622.0179999999998,154.9503,40,270.3363333333333,True
BB-10990,Barry Blumstein,Corporate,West,2014-07-27,2017-09-16,5,744.3399999999999,11.583900000000007,26,148.868,True
BB-11545,Brenda Bowman,Corporate,Central,2015-06-05,2017-12-02,9,6765.728,1015.0749999999999,83,751.7475555555556,True
BC-11125,Becky Castell,Home Office,West,2014-07-06,2017-06-11,9,2933.676,251.5974,60,325.964,True
BD-11320,Bill Donatelli,Consumer,West,2015-05-31,2017-11-27,12,5718.521,1094.5037,75,476.54341666666664,True
BD-11500,Bradley Drucker,Consumer,Central,2014-02-01,2017-11-25,6,4411.2429999999995,1142.1225,49,735.2071666666666,True
BD-11560,Brendan Dodson,Home Office,West,2015-05-30,2017-03-27,2,320.54,116.714,11,160.27,True
BD-11605,Brian Dahlen,Consumer,East,2014-01-13,2017-09-24,7,3288.471,634.8463,74,469.78157142857145,True
BD-11620,Brian DeCherney,Consumer,West,2014-06-30,2017-10-22,6,1538.11,206.75689999999997,27,256.35166666666663,True
BD-11635,Brian Derr,Consumer,South,2014-10-05,2017-12-21,3,582.646,141.53400000000002,19,194.21533333333332,True
BD-11725,Bruce Degenhardt,Consumer,South,2015-07-03,2017-09-28,6,1526.5,333.9791,29,254.41666666666666,True
BD-11770,Bryan Davis,Consumer,Central,2016-03-10,2017-02-06,6,658.466,141.265,21,109.74433333333333,True
BE-11335,Bill Eplett,Home Office,Central,2016-01-15,2017-09-02,5,4204.676,1487.7739000000001,35,840.9352000000001,True
BE-11410,Bobby Elias,Consumer,East,2016-02-07,2017-09-23,5,2261.438,755.9150999999999,19,452.2876,True
BE-11455,Brad Eason,Home Office,Central,2015-08-02,2017-04-20,6,1727.652,139.20080000000002,40,287.942,True
BF-10975,Barbara Fisher,Corporate,South,2014-07-14,2017-09-30,7,599.798,227.4384,38,85.68542857142857,True
BF-11005,Barry Franz,Home Office,West,2014-09-25,2017-11-21,4,1333.88,-291.38109999999995,26,333.47,True
BF-11020,Barry Französisch,Corporate,Central,2014-02-15,2017-10-17,8,2888.506,302.02,78,361.06325,True
BF-11080,Bart Folk,Consumer,East,2014-11-28,2017-12-05,3,272.95,110.9272,29,90.98333333333333,True
BF-11170,Ben Ferrer,Home Office,West,2014-04-13,2017-12-14,11,5907.972,1538.2127,102,537.0883636363636,True
BF-11215,Benjamin Farhat,Home Office,West,2014-11-09,2017-10-26,4,1585.162,523.2133,48,396.2905,True
BF-11275,Beth Fritzler,Corporate,West,2014-03-22,2017-11-03,3,791.9899999999999,25.870199999999997,11,263.9966666666666,True
BG-11035,Barry Gonzalez,Consumer,South,2014-11-05,2017-12-02,8,2798.948,-711.4274,35,349.8685,True
BG-11695,Brooke Gillingham,Corporate,East,2014-05-11,2017-11-24,6,1874.172,107.5715,24,312.362,True
BG-11740,Bruce Geld,Consumer,East,2014-03-23,2017-11-03,6,1006.356,119.34790000000001,22,167.726,True
BH-11710,Brosina Hoffman,Consumer,West,2014-06-09,2017-12-07,8,6255.351,802.7898,97,781.918875,True
BK-11260,Berenike Kampe,Consumer,East,2014-08-03,2017-10-14,6,659.1379999999999,-63.764399999999995,58,109.85633333333332,True
BM-11140,Becky Martin,Consumer,Central,2014-09-08,2017-02-26,4,11789.63,-1659.9580999999998,64,2947.4075,True
BM-11575,Brendan Murry,Corporate,East,2015-09-15,2017-09-21,6,808.162,95.58160000000001,22,134.69366666666667,True
BM-11650,Brian Moss,Corporate,East,2014-07-09,2017-11-27,11,7294.185,2199.2781,95,663.1077272727273,True
BM-11785,Bryan Mills,Consumer,East,2014-06-06,2017-05-26,10,1338.842,137.7439,44,133.88420000000002,True
BN-11470,Brad Norvell,Corporate,South,2014-09-12,2017-12-06,4,265.296,36.6131,15,66.324,True
BN-11515,Bradley Nguyen,Consumer,West,2014-03-17,2017-12-21,5,1459.344,340.7054,79,291.8688,True
BO-11350,Bill Overfelt,Corporate,West,2016-01-03,2017-08-15,5,2682.728,278.77700000000004,43,536.5456,True
BO-11425,Bobby Odegard,Consumer,South,2015-09-10,2017-10-16,2,130.83,59.4522,7,65.415,True
BP-11050,Barry Pond,Corporate,East,2014-10-12,2017-10-08,5,983.42,209.78300000000002,30,196.684,True
BP-11095,Bart Pistole,Corporate,Central,2014-06-07,2017-12-13,12,2442.044,433.9751,70,203.50366666666665,True
BP-11155,Becky Pak,Consumer,South,2015-06-04,2017-10-02,6,1697.8609999999999,647.3847000000001,32,282.97683333333333,True
BP-11185,Ben Peterman,Corporate,West,2015-03-24,2017-12-29,9,3675.861,363.5991,69,408.429,True
BP-11230,Benjamin Patterson,Consumer,West,2014-04-20,2017-11-21,5,1181.49,-197.2695,14,236.298,True
BP-11290,Beth Paige,Consumer,Central,2014-10-03,2017-12-18,7,2475.157,-319.0637,51,353.5938571428572,True
BS-11365,Bill Shonely,Corporate,East,2014-05-04,2016-06-20,5,10501.653,2616.0643999999998,39,2100.3306000000002,True
BS-11380,Bill Stewart,Corporate,Central,2014-11-29,2017-12-02,5,3887.834,-17.532200000000024,58,777.5668,True
BS-11590,Brendan Sweed,Corporate,West,2014-01-14,2017-11-25,6,2454.928,381.7807,41,409.1546666666666,True
BS-11665,Brian Stugart,Consumer,East,2014-06-23,2016-05-27,3,3288.1099999999997,238.73680000000002,47,1096.0366666666666,True
BS-11755,Bruce Stewart,Consumer,West,2014-05-18,2017-12-29,7,2562.382,-113.29840000000003,45,366.0545714285714,True
BS-11800,Bryan Spruell,Home Office,East,2015-09-26,2017-04-09,2,949.4300000000001,194.0516,22,474.71500000000003,True
BT-11305,Beth Thompson,Home Office,West,2014-04-25,2017-01-28,5,2567.656,417.5918,33,513.5312,True
BT-11395,Bill Tyler,Corporate,Central,2014-10-28,2017-03-03,6,2186.6130000000003,257.9163,38,364.43550000000005,True
BT-11440,Bobby Trafton,Consumer,West,2014-06-04,2016-06-18,4,603.876,-77.5256,16,150.969,True
BT-11485,Brad Thomas,Home Office,East,2015-12-27,2016-03-11,2,415.19599999999997,126.8694,11,207.59799999999998,True
BT-11530,Bradley Talbott,Home Office,West,2014-05-21,2017-09-30,5,2684.4919999999997,409.4983,44,536.8983999999999,True
BT-11680,Brian Thompson,Consumer,East,2014-11-28,2017-12-10,7,3196.752,447.74839999999995,88,456.6788571428571,True
BV-11245,Benjamin Venier,Corporate,Central,2015-03-26,2017-01-30,5,1523.2730000000001,315.2214,49,304.6546,True
BW-11065,Barry Weirich,Consumer,South,2014-05-25,2017-06-01,3,385.516,-58.28659999999999,8,128.50533333333334,True
BW-11110,Bart Watters,Corporate,Central,2015-03-20,2017-08-31,8,4750.358,921.2574,74,593.79475,True
BW-11200,Ben Wallace,Consumer,South,2014-08-12,2017-06-10,6,1738.406,246.9973,49,289.7343333333333,True
CA-11965,Carol Adams,Corporate,South,2014-01-26,2017-09-25,6,3789.7228,1143.3817,29,631.6204666666666,True
CA-12055,Cathy Armstrong,Home Office,Central,2015-09-05,2016-11-24,5,1679.7240000000002,211.2559,49,335.94480000000004,True
CA-12265,Christina Anderson,Consumer,Central,2014-03-25,2017-11-04,9,2648.2872,279.6183,65,294.25413333333336,True
CA-12310,Christine Abelman,Corporate,East,2014-07-19,2017-12-17,4,1421.954,246.02179999999998,25,355.4885,True
CA-12775,Cynthia Arntzen,Consumer,South,2014-06-28,2017-09-01,7,3041.566,204.48950000000002,72,434.50942857142854,True
CB-12025,Cassandra Brandow,Consumer,East,2014-03-21,2017-11-13,10,6076.139,150.2089,122,607.6139000000001,True
CB-12415,Christy Brittain,Consumer,East,2015-11-05,2017-12-04,8,1949.2,272.3883,44,243.65,True
CB-12535,Claudia Bergmann,Corporate,South,2015-01-02,2017-06-16,8,4246.4555,1049.5601,74,530.8069375,True
CC-12100,Chad Cunningham,Home Office,Central,2014-12-16,2016-09-29,6,1770.945,208.5912,46,295.15749999999997,True
CC-12145,Charles Crestani,Consumer,West,2014-07-20,2017-09-15,7,2471.65,392.2825,31,353.09285714285716,True
CC-12220,Chris Cortes,Consumer,Central,2014-09-09,2017-12-10,12,3913.418,393.9618,81,326.1181666666667,True
CC-12370,Christopher Conant,Consumer,South,2016-05-23,2017-11-17,5,12129.072000000002,2177.0493,34,2425.8144,True
CC-12430,Chuck Clark,Home Office,Central,2015-09-06,2017-12-30,10,2870.05,424.6583,63,287.005,True
CC-12475,Cindy Chapman,Consumer,East,2014-05-16,2017-11-21,9,1659.438,154.851,40,184.382,True
CC-12550,Clay Cheatham,Consumer,West,2017-06-15,2017-12-03,3,113.832,33.870599999999996,14,37.943999999999996,True
CC-12610,Corey Catlett,Corporate,East,2014-08-27,2017-11-26,7,2540.631,331.434,39,362.94728571428567,True
CC-12670,Craig Carreira,Consumer,East,2014-12-23,2017-12-01,7,2269.7015,187.8399,47,324.24307142857145,True
CC-12685,Craig Carroll,Consumer,South,2014-03-22,2015-10-23,4,2854.1150000000002,850.1591,51,713.5287500000001,True
CD-11920,Carlos Daly,Consumer,West,2014-03-24,2017-11-20,5,2033.968,426.661,35,406.7936,True
CD-11980,Carol Darley,Consumer,Central,2016-11-24,2017-11-06,3,639.766,-206.7172,22,213.2553333333333,True
CD-12280,Christina DeMoss,Consumer,West,2017-11-05,2017-11-18,2,1205.584,233.0274,39,602.792,True
CD-12790,Cynthia Delaney,Home Office,West,2014-02-02,2016-11-26,5,1860.732,403.8422,49,372.14639999999997,True
CG-12040,Catherine Glotzbach,Home Office,East,2015-06-01,2017-11-11,6,904.4680000000001,86.5106,37,150.7446666666667,True
CG-12520,Claire Gute,Consumer,South,2015-10-15,2017-01-26,3,1148.7800000000002,169.93439999999998,14,382.92666666666673,True
CH-12070,Cathy Hwang,Home Office,South,2015-06-25,2016-02-08,3,1537.236,195.15109999999999,13,512.412,True
CJ-11875,Carl Jackson,Corporate,East,2016-12-30,2016-12-30,1,16.52,1.652,5,16.52,False
CJ-12010,Caroline Jumper,Consumer,West,2016-03-10,2017-06-24,8,11164.974,858.7414,83,1395.62175,True
CK-12205,Chloris Kastensmidt,Consumer,East,2014-03-11,2017-11-21,13,3154.855,141.2831,122,242.68115384615385,True
CK-12325,Christine Kargatis,Home Office,West,2014-03-14,2017-09-01,5,2945.321,261.22090000000003,46,589.0642,True
CK-12595,Clytie Kelty,Consumer,East,2014-12-26,2017-11-17,11,2372.75,497.70980000000003,108,215.70454545454547,True
CK-12760,Cyma Kinney,Corporate,East,2014-02-07,2017-10-09,9,1582.109,-338.4311,64,175.78988888888887,True
CL-11890,Carl Ludwig,Consumer,East,2014-07-26,2017-09-15,4,1262.0140000000001,328.0847,24,315.50350000000003,True
CL-12565,Clay Ludtke,Consumer,Central,2014-03-04,2017-03-21,12,10880.546,1933.7830999999999,106,906.7121666666667,True
CL-12700,Craig Leslie,Home Office,Central,2016-04-24,2017-09-16,5,2353.586,229.00990000000002,34,470.71719999999993,True
CM-11815,Candace McMahon,Corporate,Central,2014-11-14,2017-08-21,6,1673.888,214.463,38,278.98133333333334,True
CM-11935,Carlos Meador,Consumer,South,2015-09-24,2016-01-22,2,565.392,-43.732400000000005,18,282.696,True
CM-12115,Chad McGuire,Consumer,East,2015-03-29,2017-12-22,4,1661.6100000000001,409.0679,35,415.40250000000003,True
CM-12160,Charles McCrossin,Consumer,Central,2016-10-21,2017-12-04,6,2533.314,-394.3686,23,422.219,True
CM-12190,Charlotte Melton,Consumer,East,2015-09-18,2017-12-22,6,1475.144,91.2033,21,245.85733333333334,True
CM-12235,Chris McAfee,Consumer,Central,2016-05-01,2016-12-10,5,2305.712,365.0387,28,461.1424,True
CM-12385,Christopher Martinez,Consumer,South,2015-03-16,2017-11-23,4,8954.019999999999,3899.8903999999998,34,2238.5049999999997,True
CM-12445,Chuck Magee,Consumer,West,2014-06-09,2016-10-20,3,287.99,64.4296,32,95.99666666666667,True
CM-12655,Corinna Mitchell,Home Office,West,2015-03-19,2017-12-03,6,6339.5576,1572.4585,42,1056.5929333333333,True
CM-12715,Craig Molinari,Corporate,Central,2014-03-07,2015-03-01,4,3984.4524,176.3108,57,996.1131,True
CP-12085,Cathy Prescott,Corporate,East,2014-12-04,2017-10-09,8,5402.254,427.0258,57,675.28175,True
CP-12340,Christine Phan,Corporate,East,2014-03-17,2017-07-23,8,5888.275,-1850.3029000000001,59,736.034375,True
CR-12580,Clay Rozendal,Home Office,Central,2016-04-18,2017-11-03,4,2148.852,74.40129999999999,32,537.213,True
CR-12625,Corey Roper,Home Office,East,2014-06-01,2016-09-16,3,475.9,144.7594,14,158.63333333333333,True
CR-12730,Craig Reiter,Consumer,East,2014-08-20,2017-10-13,4,1600.55,306.9176,18,400.1375,True
CR-12820,Cyra Reiten,Home Office,East,2015-01-24,2017-10-06,3,1397.8724,83.27029999999999,26,465.9574666666667,True
CS-11845,Cari Sayre,Corporate,West,2014-12-14,2017-09-30,5,1278.954,185.3776,22,255.7908,True
CS-11860,Cari Schnelling,Consumer,South,2014-05-02,2017-07-21,6,537.632,105.8275,16,89.60533333333332,True
CS-11950,Carlos Soltero,Consumer,Central,2014-06-08,2017-12-05,11,3036.547,-126.4223,68,276.0497272727273,True
CS-12130,Chad Sievert,Consumer,West,2014-08-05,2016-08-28,4,884.64,143.8339,28,221.16,True
CS-12175,Charles Sheldon,Corporate,South,2014-08-12,2017-05-12,5,844.4580000000001,113.1405,30,168.8916,True
CS-12250,Chris Selesnick,Corporate,South,2014-01-13,2017-12-04,12,2754.216,738.3626,97,229.518,True
CS-12355,Christine Sundaresam,Consumer,South,2014-08-15,2017-12-24,11,3202.1620000000003,831.9432,74,291.1056363636364,True
CS-12400,Christopher Schild,Home Office,Central,2014-09-26,2017-12-28,9,3651.8585000000003,-342.80330000000004,47,405.7620555555556,True
CS-12460,Chuck Sachs,Consumer,South,2017-07-03,2017-12-03,2,550.644,156.2593,13,275.322,True
CS-12490,Cindy Schnelling,Corporate,Central,2015-01-12,2016-11-01,4,1077.2285,-302.8761,33,269.307125,True
CS-12505,Cindy Stewart,Consumer,South,2014-03-26,2017-11-02,6,5690.054999999999,-6626.389499999999,40,948.3424999999999,True
CT-11995,Carol Triggs,Consumer,Central,2014-05-07,2017-09-25,8,3241.898,161.22629999999995,60,405.23725,True
CV-12295,Christina VanderZanden,Consumer,West,2014-03-28,2017-04-20,5,2830.6279999999997,493.0861,54,566.1256,True
CV-12805,Cynthia Voltz,Corporate,East,2016-05-09,2017-12-25,9,2370.3136,98.99749999999999,62,263.36817777777776,True
CW-11905,Carl Weiss,Home Office,Central,2014-06-09,2017-12-08,6,1136.592,370.8298,40,189.43200000000002,True
CY-12745,Craig Yedwab,Corporate,West,2014-12-12,2017-10-31,8,2900.026,60.64670000000001,43,362.50325,True
Co-12640,Corey-Lock,Consumer,East,2014-06-20,2016-06-29,5,1300.076,205.62820000000002,30,260.0152,True
DA-13450,Dianna Arnett,Home Office,Central,2014-04-25,2017-01-12,4,156.76,56.7904,27,39.19,True
DB-12910,Daniel Byrd,Home Office,South,2014-10-24,2017-12-09,8,2171.599,431.3748,47,271.449875,True
DB-12970,Darren Budd,Corporate,West,2014-11-12,2017-05-03,5,2839.2272,213.00289999999998,43,567.8454399999999,True
DB-13060,Dave Brooks,Consumer,West,2014-03-01,2017-12-14,7,4531.646,473.0272,48,647.3779999999999,True
DB-13120,David Bremer,Corporate,West,2015-05-01,2017-11-12,7,2973.094,-1421.7692,59,424.7277142857143,True
DB-13210,Dean Braden,Consumer,Central,2015-03-22,2017-12-21,10,2332.577,169.9679,75,233.25770000000003,True
DB-13270,Deborah Brumfield,Home Office,West,2014-02-04,2017-11-07,8,4655.897,841.8263999999999,52,581.987125,True
DB-13360,Dennis Bolton,Home Office,East,2014-11-19,2017-04-10,5,1081.466,291.0085,28,216.29319999999998,True
DB-13405,Denny Blanton,Consumer,Central,2015-08-08,2017-06-26,4,1711.692,438.9092,62,427.923,True
DB-13555,Dorothy Badders,Corporate,South,2014-04-21,2017-09-14,7,3908.8028,109.32700000000001,61,558.4004,True
DB-13615,Doug Bickford,Consumer,West,2014-09-30,2017-11-27,7,1989.05,438.80119999999994,41,284.15,True
DB-13660,Duane Benoit,Consumer,East,2014-06-17,2017-12-18,7,1155.202,177.67350000000002,33,165.02885714285713,True
DC-12850,Dan Campbell,Consumer,South,2014-07-05,2017-11-23,9,3336.168,-1441.6312999999998,64,370.68533333333335,True
DC-13285,Debra Catini,Consumer,Central,2014-12-29,2017-12-07,5,1174.618,132.06820000000002,37,234.9236,True
DD-13570,Dorothy Dickinson,Consumer,Central,2014-03-31,2017-11-19,6,269.542,36.4344,33,44.92366666666666,True
DE-13255,Deanra Eno,Home Office,East,2014-08-22,2016-01-11,5,2550.874,464.47139999999996,38,510.17479999999995,True
DF-13135,David Flashing,Consumer,West,2014-10-04,2016-01-30,3,2390.534,-259.3097,23,796.8446666666667,True
DG-13300,Deirdre Greer,Corporate,East,2014-11-01,2017-11-28,5,3195.818,562.7761,39,639.1636000000001,True
DH-13075,Dave Hallsten,Corporate,South,2014-11-21,2017-03-28,6,4932.872,1193.7404,81,822.1453333333334,True
DH-13675,Duane Huffman,Home Office,East,2014-08-12,2015-11-15,4,1043.096,116.667,41,260.774,True
DJ-13420,Denny Joy,Corporate,South,2014-12-08,2016-04-02,4,2012.52,483.03499999999997,20,503.13,True
DJ-13510,Don Jones,Corporate,South,2014-08-17,2017-11-12,8,2501.6879999999996,345.2521,52,312.71099999999996,True
DJ-13630,Doug Jacobs,Consumer,East,2015-12-14,2017-12-18,3,3356.398,731.5644,43,1118.7993333333334,True
DK-12835,Damala Kotsonis,Corporate,West,2014-03-26,2017-12-09,12,3256.48,881.1228000000001,86,271.37333333333333,True
DK-12895,Dana Kaydos,Consumer,Central,2015-03-08,2017-11-15,5,4282.176,937.6496,65,856.4352000000001,True
DK-12985,Darren Koutras,Consumer,South,2014-11-24,2017-12-23,5,1687.04,-107.35379999999998,32,337.408,True
DK-13090,Dave Kipp,Consumer,West,2015-03-02,2017-11-18,7,2650.557,536.3935,33,378.65099999999995,True
DK-13150,David Kendrick,Corporate,Central,2014-12-05,2017-12-20,2,797.832,249.9447,20,398.916,True
DK-13225,Dean Katz,Corporate,East,2014-03-14,2017-12-20,9,4802.394,209.89940000000004,70,533.5993333333333,True
DK-13375,Dennis Kane,Consumer,East,2014-09-07,2017-12-11,8,3318.486,377.0799,77,414.81075,True
DL-12865,Dan Lawera,Consumer,East,2014-06-29,2017-09-21,8,1503.112,322.2449,51,187.889,True
DL-12925,Daniel Lacy,Consumer,West,2014-09-09,2017-11-03,6,3272.2,4.213200000000029,43,545.3666666666667,True
DL-13315,Delfina Latchford,Consumer,East,2014-01-16,2017-12-08,8,1458.258,288.8732,74,182.28225,True
DL-13330,Denise Leinenbach,Consumer,West,2014-06-23,2017-11-03,4,585.02,222.6812,32,146.255,True
DL-13495,Dionis Lloyd,Corporate,West,2015-12-25,2017-10-15,8,3539.322,-52.78799999999997,33,442.41525,True
DM-12955,Dario Medina,Corporate,Central,2014-09-30,2017-09-07,7,1322.034,108.7583,28,188.86200000000002,True
DM-13015,Darrin Martin,Consumer,West,2014-09-14,2017-11-03,7,6345.103,1677.3931,87,906.4432857142857,True
DM-13345,Denise Monton,Corporate,South,2014-11-03,2017-12-08,8,4074.4719999999998,1319.0586,41,509.30899999999997,True
DM-13525,Don Miller,Corporate,Central,2014-07-05,2016-09-05,3,1376.792,199.7688,33,458.93066666666664,True
DN-13690,Duane Noonan,Consumer,West,2014-09-20,2017-05-27,7,2139.79,540.5405000000001,41,305.6842857142857,True
DO-13435,Denny Ordway,Consumer,South,2014-10-03,2017-08-19,9,1300.0315,-38.90860000000001,48,144.44794444444446,True
DO-13645,Doug O'Connell,Consumer,West,2015-11-07,2017-12-04,7,1267.316,294.0676,36,181.04514285714285,True
DP-13000,Darren Powers,Consumer,Central,2014-01-03,2017-08-26,9,1050.636,241.4524,58,116.73733333333332,True
DP-13105,Dave Poirier,Corporate,West,2015-08-22,2017-12-24,8,2215.002,563.1761,63,276.87525,True
